-------- 1 - Table 1
"Table 1.
Number of recipients by state or other area, eligibility category, age, and receipt of OASDI benefits,
December 2008",,,,,,,,,,,
State or area,,,Total,Category,,Age,,,"SSI
recipients
also
receiving
OASDI",,
,,,,Aged,"Blind and
disabled",Under 18,18–64,"65 or
older",,,
,,All areas,7520501,1203256,6317245,1153844,4333096,2033561,2612560,,
Alabama,,,166781,14405,152376,29270,105760,31751,63670,,
Alaska,,,11654,2015,9639,1232,7357,3065,4016,,
Arizona,,,103252,13808,89444,19022,59492,24738,33066,,
Arkansas,,,98870,7822,91048,22850,59036,16984,37872,,
California,,,1270223,370828,899395,105712,611664,552847,503874,,
Colorado,,,60004,8856,51148,7721,37623,14660,21338,,
Connecticut,,,55453,6665,48788,7350,35064,13039,17354,,
Delaware,,,14837,1281,13556,3472,8849,2516,4629,,
District of Columbia,,,22720,1926,20794,4452,14089,4179,5482,,
Florida,,,445338,102998,342340,84305,212054,148979,146769,,
Georgia,,,212977,25488,187489,37567,125413,49997,76607,,
Hawaii,,,23698,6229,17469,1624,13554,8520,7849,,
Idaho,,,24695,1824,22871,4734,16465,3496,8780,,
Illinois,,,265563,30489,235074,45150,161220,59193,68465,,
Indiana,,,108148,5617,102531,23621,71977,12550,34221,,
Iowa,,,45413,3385,42028,7686,30811,6916,17451,,
Kansas,,,41892,3140,38752,7869,27516,6507,14816,,
Kentucky,,,186465,12093,174372,29666,123955,32844,65049,,
Louisiana,,,165767,15511,150256,32794,99599,33374,55828,,
Maine,,,33873,2124,31749,3720,24898,5255,14497,,
Maryland,,,100995,15183,85812,16222,59826,24947,28243,,
Massachusetts,,,182208,45760,136448,20895,112059,49254,66362,,
Michigan,,,232524,16321,216203,39064,156184,37276,74128,,
Minnesota,,,80645,10351,70294,12282,50564,17799,25084,,
Mississippi,,,122467,12377,110090,22962,72074,27431,48035,,
Missouri,,,124428,8530,115898,21287,83794,19347,44840,,
Montana,,,16055,1077,14978,2264,11233,2558,6172,,
Nebraska,,,23713,2003,21710,3793,15983,3937,9242,,
Nevada,,,37022,9400,27622,6873,20147,10002,11845,,
New Hampshire,,,15849,847,15002,2219,11736,1894,5821,,
New Jersey,,,159564,33984,125580,23761,83175,52628,50914,,
New Mexico,,,57631,8351,49280,8503,33160,15968,22089,,
New York,,,656968,133942,523026,77369,346175,233424,218682,,
North Carolina,,,208457,22358,186099,40606,122118,45733,80939,,
North Dakota,,,8021,854,7167,1036,5312,1673,3481,,
Ohio,,,265285,15004,250281,45890,181407,37988,77043,,
Oklahoma,,,88095,7064,81031,16275,56924,14896,30203,,
Oregon,,,66446,8153,58293,8888,43501,14057,22785,,
Pennsylvania,,,340096,27076,313020,66322,212753,61021,98541,,
Rhode Island,,,31585,3835,27750,4169,20084,7332,12149,,
South Carolina,,,107336,10591,96745,19659,64463,23214,40729,,
South Dakota,,,13071,1531,11540,2203,7861,3007,5130,,
Tennessee,,,165229,14560,150669,23823,108056,33350,61962,,
Texas,,,566504,107284,459220,112879,288724,164901,204646,,
Utah,,,25447,2402,23045,4764,16429,4254,7707,,
Vermont,,,14342,1028,13314,1793,10098,2451,6564,,
Virginia,,,142022,19643,122379,23266,84368,34388,49941,,
Washington,,,125062,15440,109622,16059,80291,28712,34798,,
West Virginia,,,79788,3562,76226,9281,58693,11814,25544,,
Wisconsin,,,99133,7722,91411,18505,64771,15857,34776,,
Wyoming,,,5918,368,5550,837,4252,829,2291,,
Outlying area,,,,,,,,,,,
,Northern Mariana Islands,,848,125,723,270,414,164,185,,
Unknown,,,124,26,98,8,71,45,56,,
,,,,,,,,,,,
,,,,,,,,,,,
"SOURCE:  Social Security Administration, Supplemental Security Record (Characteristic Extract Record format), 100 percent data.",,,,,,,,,,,
CONTACT: Stella Coleman (410) 965-0157 or ssi.sc@ssa.gov.,,,,,,,,,,,
,,,,,,,,,,,
"File available from:
U.S. Social Security Administration, Office of Retirement and Disability Policy
SSI Recipients by State and County, 2008
http://www.socialsecurity.gov/policy/docs/statcomps/ssi_sc/2008/",,,,,,,,,,,
-------- 2 - Table 2
"Table 2.
Amount of payments, by state or other area, eligibility category, and age, December 2008
(in thousands of dollars)",,,,,,,,,
State or area,,,Total,Category,,Age,,,
,,,,Aged,"Blind and
disabled",Under 18,18–64,"65 or
older",
,,All areas,3880433,475880,3404553,684552,2386554,809328,
Alabama,,,79426,2916,76510,17398,54113,7915,
Alaska,,,5385,615,4771,635,3746,1004,
Arizona,,,50340,4647,45693,11008,30712,8620,
Arkansas,,,46903,1443,45461,13443,29660,3800,
California,,,787864,198394,589470,73914,412299,301652,
Colorado,,,28695,3105,25591,4302,19365,5029,
Connecticut,,,27494,2454,25040,4330,18363,4802,
Delaware,,,7063,378,6685,1923,4359,782,
District of Columbia,,,12052,601,11450,2636,7950,1465,
Florida,,,212369,37786,174583,48374,109147,54848,
Georgia,,,103818,6542,97277,21722,68214,13883,
Hawaii,,,12294,2548,9745,896,7751,3647,
Idaho,,,11663,448,11214,2644,8067,951,
Illinois,,,135275,11579,123696,26624,86019,22632,
Indiana,,,55579,1494,54085,13844,38126,3609,
Iowa,,,20929,832,20097,4239,14828,1862,
Kansas,,,21293,893,20400,4399,14952,1942,
Kentucky,,,89611,2609,87003,17445,63298,8869,
Louisiana,,,79201,3480,75721,19272,51034,8895,
Maine,,,15905,439,15466,2071,12545,1288,
Maryland,,,51916,5559,46357,9333,33444,9139,
Massachusetts,,,95102,19483,75618,13009,61242,20851,
Michigan,,,123789,5611,118178,23573,87107,13109,
Minnesota,,,40135,3983,36152,6974,26172,6989,
Mississippi,,,56742,2370,54371,13358,36652,6732,
Missouri,,,60925,2235,58690,12364,43129,5431,
Montana,,,7514,240,7273,1280,5580,654,
Nebraska,,,11071,521,10550,2100,7874,1097,
Nevada,,,18256,3407,14849,3886,10764,3606,
New Hampshire,,,7604,257,7347,1239,5809,556,
New Jersey,,,79429,13496,65933,13708,44834,20886,
New Mexico,,,26800,2316,24484,4988,16960,4852,
New York,,,355615,55729,299886,47917,205221,102478,
North Carolina,,,96785,4963,91822,22968,61832,11985,
North Dakota,,,3549,205,3344,553,2562,435,
Ohio,,,139833,4722,135110,27522,99787,12524,
Oklahoma,,,42870,1693,41177,9439,29477,3953,
Oregon,,,32620,2717,29903,5055,22792,4773,
Pennsylvania,,,176163,8786,167377,38518,115922,21724,
Rhode Island,,,16415,1356,15059,2709,10986,2720,
South Carolina,,,50632,2310,48322,11097,33457,6078,
South Dakota,,,5766,361,5405,1188,3763,815,
Tennessee,,,79946,3187,76759,13836,57271,8839,
Texas,,,256344,30357,225988,64166,144099,48079,
Utah,,,12572,874,11697,2585,8460,1526,
Vermont,,,6838,242,6595,1127,5035,675,
Virginia,,,65104,6283,58821,12933,41112,11059,
Washington,,,66002,6400,59602,9231,44945,11826,
West Virginia,,,39546,740,38806,5456,30768,3322,
Wisconsin,,,48194,2143,46051,10689,32665,4840,
Wyoming,,,2677,75,2602,459,2019,199,
Outlying area,,,,,,,,,
,Northern Mariana Islands,,457,44,412,171,223,63,
UnKnown,,,62,10,51,3,41,17,
,,,,,,,,,
,,,,,,,,,
